RiskID,RiskTitle,RiskDescription,ApplicableSectors,SourceReference
RB-OC-001,Operators failing to comply with ML/TF legislation,Operators failing to comply with prevention of money laundering and terrorist financing legislation and guidance (Likelihood: High Impact: High Overall: 9),Bingo,UKGC 2023 ML/TF Risk Assessment - Remote Bingo
RB-OC-002,Operators self-staking,Operators staking and winning directly and indirectly on their own products (Likelihood: Low Impact: Medium Overall: 2),Bingo,UKGC 2023 ML/TF Risk Assessment - Remote Bingo
RB-OC-003,Poor source of funds checks,Poor source of funds checks allowing criminals to launder funds without proper verification (Likelihood: High Impact: High Overall: 9),Bingo,UKGC 2023 ML/TF Risk Assessment - Remote Bingo
RB-OC-004,Inadequate KYC checks,Inadequate or lack of 'know your customer' (KYC) checks enabling identity fraud and money laundering (Likelihood: High Impact: High Overall: 9),Bingo,UKGC 2023 ML/TF Risk Assessment - Remote Bingo
RB-OC-005,Third party business relationships,Third party business relationships and business investors potentially linked to organized crime (Likelihood: Medium Impact: High Overall: 6),Bingo,UKGC 2023 ML/TF Risk Assessment - Remote Bingo
RB-LI-001,Organized crime ownership,Gambling operations run by organised criminals to launder criminally derived funds (Likelihood: Low Impact: High Overall: 3),Bingo,UKGC 2023 ML/TF Risk Assessment - Remote Bingo
RB-CV-001,Customer not physically present,Customer not physically present for identification enabling easier identity fraud and reduced verification effectiveness (Likelihood: High Impact: High Overall: 9),Bingo,UKGC 2023 ML/TF Risk Assessment - Remote Bingo
RB-CV-002,False or stolen documentation,False or stolen documentation used to bypass controls to launder criminally derived funds (Likelihood: Medium Impact: High Overall: 6),Bingo,UKGC 2023 ML/TF Risk Assessment - Remote Bingo
RB-CV-003,Multiple remote accounts,Accessibility to multiple remote accounts across different operators to fragment transactions and avoid detection (Likelihood: Medium Impact: High Overall: 6),Bingo,UKGC 2023 ML/TF Risk Assessment - Remote Bingo
RB-CV-004,Sanctioned customers,Customers on the sanction list attempting to access gambling services despite asset freezes (Likelihood: Low Impact: High Overall: 3),Bingo,UKGC 2023 ML/TF Risk Assessment - Remote Bingo
RB-CV-005,Third party agents,Use of third parties or agents to obscure the source or ownership of money gambled by customers and their identities (Likelihood: Medium Impact: High Overall: 6),Bingo,UKGC 2023 ML/TF Risk Assessment - Remote Bingo
RB-CV-006,Smurfing,'Smurfing' - making numerous low-level transactions to minimise suspicion and evade CDD requirements (Likelihood: Medium Impact: High Overall: 6),Bingo,UKGC 2023 ML/TF Risk Assessment - Remote Bingo
RB-MP-001,Cryptoasset transactions,Cryptoasset transactions providing anonymity and difficulty in tracing funds (Likelihood: Medium Impact: High Overall: 6),Bingo,UKGC 2023 ML/TF Risk Assessment - Remote Bingo
RB-MP-002,Pre-paid cards,Pre-paid cards used to obscure source of funds and enable anonymous deposits (Likelihood: Medium Impact: High Overall: 6),Bingo,UKGC 2023 ML/TF Risk Assessment - Remote Bingo
RB-MP-003,Multiple payment methods,Multiple methods of payment used to layer transactions and obscure audit trail (Likelihood: Medium Impact: High Overall: 6),Bingo,UKGC 2023 ML/TF Risk Assessment - Remote Bingo
RB-MP-004,E-wallets,E-wallets providing additional layer of separation from source of funds (Likelihood: Medium Impact: Medium Overall: 4),Bingo,UKGC 2023 ML/TF Risk Assessment - Remote Bingo
NRB-OC-001,Operators failing to comply with ML/TF legislation,Operators failing to comply with prevention of money laundering and terrorist financing legislation and guidance (Likelihood: Medium Impact: Medium Overall: 4),Bingo,UKGC 2023 ML/TF Risk Assessment - Non-Remote Bingo
NRB-OC-002,Inadequate KYC checks,Lack of or inadequate 'know your customer' (KYC) checks conducted resulting in criminals laundering criminal proceeds (Likelihood: Medium Impact: Medium Overall: 4),Bingo,UKGC 2023 ML/TF Risk Assessment - Non-Remote Bingo
NRB-OC-003,Third party business relationships,Third party business relationships and business investors potentially linked to organized crime (Likelihood: Medium Impact: Medium Overall: 4),Bingo,UKGC 2023 ML/TF Risk Assessment - Non-Remote Bingo
NRB-LI-001,Organized crime acquisition,Gambling operations being acquired by organised crime to launder criminal proceeds (Likelihood: Low Impact: Medium Overall: 2),Bingo,UKGC 2023 ML/TF Risk Assessment - Non-Remote Bingo
NRB-LI-002,Employee collusion,Employees colluding with criminals to facilitate money laundering (Likelihood: Low Impact: Medium Overall: 2),Bingo,UKGC 2023 ML/TF Risk Assessment - Non-Remote Bingo
NRB-CV-001,Anonymous gaming machine customers,Anonymous customers laundering proceeds of crime through gaming machines (Likelihood: Low Impact: Medium Overall: 2),Bingo,UKGC 2023 ML/TF Risk Assessment - Non-Remote Bingo
NRB-PV-001,Electronic Betting Terminals,Electronic Betting Terminals (EBTs) including table-top gaming used for money laundering (Likelihood: Low Impact: Medium Overall: 2),Bingo,UKGC 2023 ML/TF Risk Assessment - Non-Remote Bingo
NRB-PV-002,Gaming Machines Category B3,Gaming Machines Category B3 with higher stakes used for laundering (Likelihood: Low Impact: Medium Overall: 2),Bingo,UKGC 2023 ML/TF Risk Assessment - Non-Remote Bingo
NRB-PV-003,BYOD systems,Bring your own device (BYOD) systems introducing new vulnerabilities (Likelihood: Low Impact: Medium Overall: 2),Bingo,UKGC 2023 ML/TF Risk Assessment - Non-Remote Bingo
NRB-MP-001,Cash payments,Cash payments providing anonymity and difficulty in source verification (Likelihood: Medium Impact: Medium Overall: 4),Bingo,UKGC 2023 ML/TF Risk Assessment - Non-Remote Bingo
